Rejec,ID,IME,r,k20,a30,KoagRazred,Mascoba,proteini,Laktoza,SS,ZmrzTocka,Urea,SSC,KapaKazein
Pececnik,44147376,Suxa,837,94.5,43,A,5.99,4.43,4.56,9.72,-0.534,13.4,285,BB
Rakun,44155658,Vata,754,102,41,A,3.67,2.91,4.46,8.09,-0.517,16.9,537,BB
Arlic,44181008,Soca,656,99,45,D,6.03,4.12,4.16,9.01,-0.517,13,322,BB
Verdev,44191162,Oca,632,149,44,D,5.17,3.92,4.51,9.16,-0.53,9.1,42,
Verdel,44191399,Lara,1007,106,44,A,5.62,3.45,4.57,8.75,-0.518,9.2,178,BB
Popic,44217046,Meka,1074,108.5,38.5,A,4.09,3.44,4.47,8.64,-0.521,8.6,97,AB
Verdel,44239077,Pika,1059.5,127,45.5,A,4.25,3.26,4.44,8.44,-0.519,7.1,112,BB
Arlic,44298609,Honda,846.5,122,37,A,5.98,4.12,4.47,9.32,-0.519,11.4,122,AA
Vasle,44349970,Dara,640,125,41,D,4.24,3.89,4.51,9.13,-0.528,16,97,AA
Lesjak,44354118,Dasa,778,91,46,A,5.11,3.8,4.58,9.11,-0.517,14.7,127,AB
Brecl,44380513,Vidra,1143.5,101.5,42.5,B,4.18,3.68,4.71,9.13,-0.53,5.8,381,BB
Kramer,44381459,Soja,701.5,102.5,43,A,4.68,4.54,3.66,4.61,9,-0.527,14.2,AB
Verdev,44446981,Zana,795,149,45,A,4.84,3.7,4.73,9.16,-0.524,5,59,
Pececnik,44463814,Surla,1212,107.5,38,B,4.36,3.69,4.7,9.12,-0.528,21.6,65,AB
Jan,44502665,Cita,1474,118,30,B,5.61,3.81,4.51,9.05,-0.529,14.6,55,BB
Jan,53186841,Reneta,831,109,39,A,4.5,3.23,4.51,8.47,-0.518,13.5,320,BB
Kramer,53529006,Spaka,1386,133,27,B,4.56,4.43,3.27,4.71,8.71,-0.52,14.5,AB
Lesjak,53699006,Dika,1411,118.5,32.5,B,4,3.63,4.43,8.79,-0.527,22.6,547,BB
Oblak,53734372,Pika,1606,98,20,F,4.25,3.26,4.44,8.44,-0.519,7.1,112,AB
Jan,53751030,Dorina,1241,115,37,B,5.1,4.05,4.17,8.95,-0.522,8.6,195,AB
Lesjak,53861641,Moca,604,104,48,D,3.39,3.68,4.46,8.87,-0.519,21.1,583,AB
Verdel,54191381,Srna,749.5,104.5,46.5,A,5.57,4.32,4.95,10,-0.534,4.9,223,AB
Popic,54294068,Magya,1258,115.5,32.5,B,4.49,3.48,4.43,8.64,-0.511,12.8,287,BB
Arlic,54298574,Happy,909.5,117,42,A,4.57,4.24,4.59,9.57,-0.525,9.2,135,AB
Arlic,54307634,Helga,793,101.5,41,A,3.89,3.5,4.69,8.91,-0.528,22.8,32,AB
Knez,54413698,Mirna,953.5,119.5,45,A,2.73,3.63,4.76,9.12,-0.522,13,150,
Marolt,54424636,Sidra,707.5,96.5,46.5,A,4.46,3.9,4.51,9.14,-0.524,23.6,192,AB
Knez,54424904,Megi,856,110.5,43.5,A,3.72,3.15,4.66,8.55,-0.514,19.7,336,
Pececnik,54463820,Eli,1191.5,121,37.5,B,4.31,3.92,4.62,9.27,-0.524,18.2,39,AB
Rakun,54497979,Zera,1129,104,40,B,5.26,4.15,4.77,9.66,-0.534,16.1,69,BB
Kramer,63490514,Snežka,641,95,43,D,4.96,4.82,3.1,4.44,8.27,-0.501,18.1,AB
Knez,63645226,Muca,1304,132,38,B,2.56,3.81,4.86,9.39,-0.54,20.5,137,
Marolt,63648669,Berta,1296,112.5,42,B,4.7,4.41,4.08,9.22,-0.529,30.3,386,AB
Arlic,63753237,Saloma,1203.5,123.5,38.5,B,4.73,4.22,4.01,8.96,-0.514,6.9,151,AB
Rakun,63817445,Zora,954,114,48,A,4.06,3.59,4.41,8.73,-0.531,14.8,352,BB
Vasle,63858806,Maca,434.5,106,39.5,D,3.46,3.66,4.67,9.06,-0.531,12.8,984,BB
Arlic,63947511,Sakala,1121,110,36.5,B,4.17,3.62,4.37,8.73,-0.532,12.9,88,BB
Verdel,63952467,Lepa,738.5,110.5,43,A,4.6,3.19,4.56,8.47,-0.522,10.6,151,cb
Vasle,64014793,Dana,1135.5,102,42.5,B,4.01,3.88,4.5,9.11,-0.526,11.8,132,BB
Popic,64038056,Seka,400,75,24,A,4.35,3.7,4.81,9.24,-0.532,11.4,19,AB
Brecl,64181044,Vrba,887.5,0,1,F,3.88,4.25,4.33,9.31,-0.525,10,337,NA
Pececnik,64217075,Pupa,1001,118,45,A,3.68,3.89,4.63,9.25,-0.53,14.2,111,BB
Popic,64294050,Sama,1048,116,36,B,3.91,3.39,4.28,8.4,-0.525,16.8,189,BB
Popic,64294074,Mala,1192,100,35,B,5.24,4.99,4.65,10.37,-0.528,7.2,117,AB
Arlic,64298573,Seja,877.5,125.5,42,A,5,3.74,4.49,8.96,-0.514,17.8,61,AB
Pececnik,64304692,Sabina,1350,110,28,B,4.48,3.22,4.78,8.73,-0.516,11.8,17,AB
Lesjak,64354130,Dama,701.5,104.5,44,A,4.47,3.46,4.77,8.95,-0.521,14.2,90,BB
